建物名,住所,lng,lat
総合文化公園中央広場,宮崎県新富町大字上富田字中栗野田,131.4827614,32.07088881
三納代運動広場,宮崎県新富町大字三納代1839,131.4959658,32.07357243
平田児童公園,宮崎県新富町大字上富田6347,131.4876877,32.06966813
さくら南公園,宮崎県新富町富田1-16,131.4898253,32.06840099
南2号公園,宮崎県新富町富田南3-16,131.4923845,32.06605007
南3号公園,宮崎県新富町富田西2-54,131.4865625,32.06529545
南4号公園,宮崎県新富町富田南4-38,131.4890707,32.06333606
南5号公園,宮崎県新富町富田南1-62,131.4890189,32.06660626
北1号公園,宮崎県新富町富田2-55,131.4915232,32.06987727
北2号公園,宮崎県新富町富田3-91,131.4946024,32.07158648
北3号公園,宮崎県新富町富田北1-26,131.4953292,32.0725966
北4号公園,宮崎県新富町富田東4-2,131.4958074,32.06862696
新田公民館,宮崎県新富町大字新田7302,131.4437205,32.07067619
西体育館,宮崎県新富町大字新田7287,131.4434278,32.06999459
新田学園小学部（運動場）,宮崎県新富町大字新田7717-1,131.4440101,32.07130994
新田学園小学部（講堂）,宮崎県新富町大字新田7717-1,131.4435863,32.07161905
新田学園中学部（運動場）,宮崎県新富町大字新田5795,131.4454317,32.07186907
新田学園中学部（体育館）,宮崎県新富町大字新田5795,131.4453941,32.07111902
西都市黒生野の高速道路の一部,宮崎県西都市黒生野,131.4108152,32.07020678
横江地区複合型津波避難施設,宮崎県新富町大字下富田3440-1,131.485976449646,32.0556296857084
五反田地区津波避難タワー,宮崎県新富町大字下富田1397-46,131.497837177903,32.0598169369316
東小学校グラウンド,宮崎県児湯郡川南町大字川南21909番地1,131.54834013495,32.21876271913
通山小学校グラウンド,宮崎県児湯郡川南町大字平田6383番地,131.53191802483,32.171152691802
川南町運動公園,宮崎県児湯郡川南町大字平田2334番地1,131.53159149863,32.192351144877
東地区運動公園公園,宮崎県児湯郡川南町大字川南9377番地1,131.55934602444,32.229950256955
通山農村公園,宮崎県児湯郡川南町大字平田6655番地1,131.53192848238,32.169940203677
県道　高鍋美々津線道路敷き,宮崎県児湯郡川南町大字川南5563番地6,131.54516384433,32.170224033534
門川高等学校,宮崎県門川町大字門川尾末2680,131.64116011801,32.469793937458
五十鈴小学校,宮崎県門川町大字門川尾末6270,131.63187493568,32.472082233834
平城保育所,宮崎県門川町平城西14-2,131.64280474907,32.476370634649
クリエイティブセンター,宮崎県門川町南町6丁目1,131.64944779629,32.464018425559
中央公民館,宮崎県門川町大字門川尾末1616-1,131.6507402782,32.473569700732
中村公民館,宮崎県門川町大字加草3369-1,131.64587483882,32.497891665331
かどがわ温泉心の杜,宮崎県門川町大字庵川1942,131.67569796679,32.485726461809
総合福祉センター,宮崎県門川町庵川西6丁目60,131.67392502664,32.482719534336
