施設種別,建物名,住所,想定収容人数,MHトイレ基数,lng,lat
指定避難所兼指定緊急避難場所,大淀学園鵬翔高等学校,宮崎市大字恒久4336,1125,0,131.417196,31.891235
指定避難所兼指定緊急避難場所,宮崎市南部老人福祉センター,宮崎市大字恒久5124,100,0,131.411201,31.888393
指定避難所兼指定緊急避難場所,宮崎市障がい者体育センター,宮崎市大字恒久字西原5132,494,0,131.411732,31.888659
指定避難所兼指定緊急避難場所,宮崎市立恒久小学校,宮崎市恒久2-15-4,454,5,131.42667,31.895215
指定避難所兼指定緊急避難場所,下城ヶ崎自治公民館,宮崎市恒久3-20-13,50,0,131.431021,31.893291
指定避難所兼指定緊急避難場所,宮崎市赤江東地区交流センター,宮崎市恒久6-11-4,300,0,131.440001,31.889904
指定避難所兼指定緊急避難場所,宮崎市南部記念体育館,宮崎市恒久2-1-5,1209,0,131.425257,31.893393
指定避難所兼指定緊急避難場所,宮崎市立共同利用施設南赤江センター,宮崎市大字田吉字赤江278-2,50,0,131.429904,31.879932
指定避難所兼指定緊急避難場所,宮崎市立赤江東中学校,宮崎市大字田吉1031,528,6,131.432673,31.888101
指定避難所兼指定緊急避難場所,田吉自治公民館,宮崎市大字田吉字田吉1364-1,37,0,131.436708,31.887423
指定避難所兼指定緊急避難場所,浜畑自治公民館,宮崎市大字田吉字木寅4370-1,29,0,131.443306,31.869893
指定避難所兼指定緊急避難場所,赤江地域センター,宮崎市大字田吉字肥屋田5730-3,82,0,131.428284,31.885033
指定避難所兼指定緊急避難場所,宮崎航空大学校,宮崎市赤江飛江田652-2,500,0,131.441788,31.879999
指定避難所兼指定緊急避難場所,宮崎市立共同利用施設空港南センター,宮崎市大字赤江字飛江田79-1,31,0,131.434629,31.869271
指定避難所兼指定緊急避難場所,宮崎市緑松体育館,宮崎市大字赤江字飛江田980,402,0,131.450509,31.879603
指定避難所兼指定緊急避難場所,宮崎市立赤江中学校,宮崎市月見ヶ丘1-25-1,494,5,131.424956,31.880761
指定避難所兼指定緊急避難場所,宮崎市赤江公民館,宮崎市月見ヶ丘2-44-5,310,0,131.424306,31.879142
指定避難所兼指定緊急避難場所,宮崎市立共同利用施設月見ヶ丘六次センター,宮崎市月見ヶ丘3-17-1,34,0,131.419468,31.874563
指定避難所兼指定緊急避難場所,宮崎市立共同利用施設月見ヶ丘センター,宮崎市月見ヶ丘4-23-13,156,0,131.419094,31.8772
指定避難所兼指定緊急避難場所,宮崎県立宮崎南高等学校,宮崎市月見ヶ丘5-2-1,1067,0,131.4191,31.884488
